"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","1n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C4","1","1u","","","","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"C5","1","120n","","","","Capacitor_THT:C_Rect_L13.5mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","~"
"C6","1","18p","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C7","1","1u","","","","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C8","1","105u","","","","Capacitor_THT:C_Radial_D10.0mm_H20.0mm_P5.00mm","~"
"C9,C10","2","100u","","","","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","~"
"CX1,CX2","2","47n","","","","Capacitor_THT:C_Rect_L24.0mm_W8.6mm_P22.50mm_MKT","~"
"CY1,CY2","2","C","","","","","~"
"D1,D2","2","1N47xxA","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"D3,D4","2","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D5","1","VS-KBPC608","","","","Diode_THT:Diode_Bridge_Vishay_KBPC6","http://www.vishay.com/docs/93585/vs-kbpc1series.pdf"
"D6","1","STTH212S","","","","Diode_SMD:D_SMC-RM10_Universal_Handsoldering","https://www.st.com/resource/en/datasheet/stth212.pdf"
"D7","1","D","","","","Diode_THT:D_5KPW_P12.70mm_Horizontal","~"
"F1","1","Fuse","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"FL1","1","Filter_EMI_CommonMode","","","","ELP-Boost_PFC:Filtro_EMI-Choke","~"
"J1,J2","2","Screw_Terminal_01x03","","","","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~"
"Q1","1","12n50C3","","","","Package_TO_SOT_THT:TO-220-3_Vertical",""
"R1,R4","2","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2,R7","2","180k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","8k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","1","7k5","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","1","11k5","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10","1","22k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R11","1","200","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"R12,R13","2","51k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"Rs?","1","270m","","","","","~"
"RV1","1","R_Potentiometer_Trim","","","","ELP-Boost_PFC:Trimpot-10k","~"
"TP1,TP2,TP3","3","TestPoint","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TR1","1","TEZ2.5-D-1","","","","Transformer_THT:Transformer_Breve_TEZ-28x33","http://www.breve.pl/pdf/ANG/TEZ_ang.pdf"
"U1","1","UCC38050","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
